,,,,,,,,,,,,,,,,,,,,,,,,,,
数据导出日期为2023-02-02，点击企业名称可查看最新数据。更多企业信息请访问：aiqicha.baidu.com ,,,,,,,,,,,,,,,,,,,,,,,,,,
企业名称,经营状态,法定代表人,注册资本,实缴资本,成立日期,核准日期,营业期限,所属省份,所属城市,所属区县,电话,更多电话,邮箱,更多邮箱,统一社会信用代码,纳税人识别号,工商注册号,组织机构代码,参保人数,企业类型,所属行业,曾用名,注册地址,最新年报地址,网址,经营范围
安舒(深圳)装修有限公司,开业,苟巧,100万(元),100万(元),2021-01-19,2021-02-01,-,广东省,深圳市,光明区,13728305873,-,13728305873@163.com,-,91440300MA5GKYPF44,91440300MA5GKYPF44,440300212734269,MA5GKYPF-4,-,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市光明区马田街道合水口社区松白路4栋509,深圳市光明区马田街道合水口社区松白路4栋509,-,一般经营项目是：装饰材料的销售；金属门窗、水电空调通风设备的上门安装；国内贸易。，许可经营项目是：室内外装饰工程的设计与施工；外墙装修设计与施工：钢结构工程 的设计与施工；玻璃幕墙工程施工及给排水工程施工。
华越(深圳)装修材料有限公司,开业,李政飞,200万(元),-,2021-09-30,2021-09-30,-,广东省,深圳市,深圳市,13686450135,-,781357649@qq.com,-,91440300MA5H0YCF32,91440300MA5H0YCF32,440300214975457,MA5H0YCF-3,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市光明区凤凰街道塘家社区融域名城6A栋6A-22D,深圳市宝安区沙井街道马安山社区第二工业区第二栋厂房北面一层，二层,-,"一般经营项目是:承接总公司工程建设业务;金属门窗工程施工;家具安装和维修服务;家用电器安装服务。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动),许可经营项目是:住宅室内装饰装修;对外承包工程;建筑智能化工程施工;施工专业作业。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准)"
尚品(深圳)装修装饰工程有限公司,开业,张云,50万(元),-,2021-04-28,2021-04-28,-,广东省,深圳市,龙岗区,18124793922,-,158869374@qq.com,-,91440300MA5GQMLKXA,91440300MA5GQMLKXA,440300213618690,MA5GQMLK-X,0人,有限责任公司(自然人独资),批发业,-,深圳市龙岗区平湖街道禾花社区辅岐路141号105,深圳市龙岗区平湖街道禾花社区辅岐路141号105,-,一般经营项目是：建筑工程施工、装饰、装修（取得建设行政主管部门颁发的资质证书方可经营）；电气安装；管道和设备安装；建筑和装饰装修材料、建筑声学光学材料、环保节能材料批发、销售；涂料、油墨、颜料、染料、橡胶制品、塑料制品的销售；厨房、卫生间用具、灯具、装饰物品、家用电器、家具的销售；电力照明设备、电动机的销售；在合法取得使用权的土地上从事房地产开发经营；物业管理；房地产经纪；房地产信息咨询；自有物业租赁；企业形象策划；文化交流；文化活动策划；礼仪服务、会务服务；市场营销策划；展览展示策划；翻译、打印及复印；商务文印；电脑喷绘、晒图；电脑绘图；经营电子商务。，许可经营项目是：无
翔宏(深圳)装修设计工程有限公司,开业,胡俊杰,10万(元),-,2020-08-18,2021-08-18,-,广东省,深圳市,福田区,15986635301,-,512846942@qq.com,-,91440300MA5GBPNW7L,91440300MA5GBPNW7L,440300211191857,MA5GBPNW-7,0人,有限责任公司(法人独资),建筑装饰、装修和其他建筑业,-,深圳市福田区沙头街道天安社区泰然六路泰然苍松大厦十二层1209-03,深圳市南山区粤海街道高新区社区科技南八路2号豪威科技大厦13FE区02,-,一般经营项目是：建筑装饰装修工程、机电设备安装工程、中央空调系统安装工程、无尘净化系统安装工程、防火工程、空气通风设备系统工程、洁净室工程、管道安装工程、城市及道路照明工程、消防设施工程、景观绿化工程、建筑智能化工程的设计与施工；铝合金门窗的上门安装；市政公用工程、钢结构工程的施工；消防器材的销售；红木销售；家具建材销售；装修设计；投资兴办实业（具体项目另行申报）；国内贸易；经营进出口业务。企业管理咨询（不含人才中介服务）；礼仪策划、文化活动策划（不含卡拉OK，歌舞厅）、企业形象策划、展览展示策划。（法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：无
优居美家(深圳)装修设计工程有限公司,开业,黄勇,100万(元),-,2020-07-22,2022-02-24,2020-07-22 至 9999-12-31,广东省,深圳市,南山区,15976887245,-,1033619971@qq.com,-,91440300MA5GACR85K,91440300MA5GACR85K,440300210924161,MA5GACR8-5,0人,有限责任公司(自然人独资),房屋建筑业,-,深圳市南山区西丽街道松坪山社区乌石头路8号天明科技大厦1409,深圳市南山区西丽街道松坪山社区高新北六道36号彩虹科技大楼1B,-,一般经营项目是：装饰设计建筑装饰材料、五金制品、木材制品、消防器材、环保节能材料研发、集成配套、销售；建设材料及器材的技术开发与销售，国内贸易；投资兴办实业（具体项目另行申报）；物业租赁；货物及技术进出口（以上根据法律、行政法规、国务院决定等规定需要审批的，依法取得相关审批文件后方可经营）。，许可经营项目是：室内装饰工程、室内水电安装工程、建筑工程、钢结构工程设计与施工；建筑幕墙工程、防水工程、消防设施工程、市政公用工程的设计与施工。
深圳众诚装修工程有限公司,开业,葛东谨,"1,000万(元)",-,2020-03-10,2022-09-15,2020-03-10 至 9999-12-31,广东省,深圳市,坪山区,13642347426,-,420475690@qq.com,-,91440300MA5G343A95,91440300MA5G343A95,440300209552507,MA5G343A-9,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市坪山区马峦街道沙坣社区豪方东园1栋101,深圳市坪山区龙田街道龙田社区同富裕工业区27-1号101,-,一般经营项目是：市政公用工程施工总承包、建筑装修装饰工程专业承包、地基基础工程专业承包、电器安装、管道和设备安装、园林绿化工程施工、消防工程、水电工程、广告业务及安装、体育场地设施工程、土石方工程、爆破与拆除工程、施工劳务作业。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得建设行政主管部门颁发的资质证书方可经营），许可经营项目是：园林绿化工程施工。建筑工程施工总承包。
深圳无忧装修网络有限公司,开业,高小军,200万(元),-,2020-06-22,2020-06-22,-,广东省,深圳市,龙华区,13670061812,-,316291183@qq.com,-,91440300MA5G8QDM8D,91440300MA5G8QDM8D,440300210563549,MA5G8QDM-8,0人,有限责任公司,软件和信息技术服务业,-,深圳市龙华区民治街道大岭社区龙光玖钻北丙期C座532,深圳市龙华区民治街道大岭社区龙光玖钻北丙期C座532,www.51zxwang.com,一般经营项目是：信息技术咨询服务；移动互联网研发和上门维护；信息电子技术服务；电子商务平台的开发；室内装饰工程设计；计算机软硬件的技术开发；家居装饰设计；工业产品设计；计算机软硬件及辅助设备、工艺美术品（不含象牙及其制品）、建筑材料、家具、家用电器、日用品、五金交电、塑料制品、装饰材料、陶瓷制品、卫生间用具、橡胶制品的销售。，许可经营项目是：无
深圳德耀装修装饰工程有限公司,开业,蒋慧林,"5,000万(元)",-,2020-07-10,2021-06-04,-,广东省,深圳市,罗湖区,13728690281,0755-82280309,2372212475@qq.com,-,91440300MA5G9RWT4A,91440300MA5G9RWT4A,440300210786171,MA5G9RWT-4,0人,有限责任公司(法人独资),土木工程建筑业,-,深圳市罗湖区东晓街道东晓社区东晓路2003号环保大楼503,深圳市罗湖区东晓街道东晓社区东晓路2003号环保大楼503,-,一般经营项目是：建筑工程的设计与施工；装修装饰工程；房屋建筑工程施工总承包；市政公用工程施工总承包；公路工程施工总承包；水利水电工程施工总承包；地基与基础工程设计与施工；建筑幕墙工程设计与施工；地质灾害工程专业承包；结构补强工程专业承包；城市及道路照明工程专业承包；预应力工程承包；建筑劳务分包；园林绿化工程；钢结构工程；土石方工程专业承包；水电安装工程；机电安装工程；给排水工程；环保工程；建筑装饰材料的购销；建筑运输机械租售；园林绿化养护管理工程；港口和航道工程；电力工程施工总承包；通信工程施工；起重设备安装工程；电子与智能化工程；消防设施工程；防水防腐保温工程；桥梁工程；隧道工程；模板脚手架工程；古建筑工程；公路交通工程、公路工程、机电工程的施工。（企业经营涉及行政许可的，须取得行政许可文件后方可经营），许可经营项目是：无
深圳鑫齐装修设计工程有限公司,开业,袁珊珊,"5,000万(元)",-,2020-12-28,2022-01-14,-,广东省,深圳市,福田区,13641402487,-,68613852@qq.com,-,91440300MA5GJW2A6P,91440300MA5GJW2A6P,440300212512651,MA5GJW2A-6,-,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市福田区园岭街道上林社区八卦三路88-8号清凤荣盛创投大厦406W,深圳市福田区沙头街道天安社区泰然九路11号海松大厦A座三层301K9,-,一般经营项目是：建筑装修装饰工程的设计与施工；消防设备、吸排水设备、机电设备的上门安装；消防器材、五金机电、电子产品、电线电缆、安全防护用品、劳保用品、灯具灯饰、安防器材的销售；国内贸易，从事货物及技术进出口业务。，许可经营项目是：无
深圳市鸿荣装修设计工程有限公司,开业,陈文浩,50万(元),"2,050万(元)",2020-05-14,2022-12-09,2020-05-14 至 9999-12-31,广东省,深圳市,龙华区,15820455331,-,2722628543@qq.com,2838582192@qq.com,91440300MA5G6H6N6E,91440300MA5G6H6N6E,440300210166027,MA5G6H6N-6,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市龙华区观澜街道广培社区新兴街9号新艺花园101,深圳市龙华区观澜街道广培社区新兴街9号新艺花园101,-,一般经营项目是：建筑工程、装修工程的设计与施工；建筑材料、装饰材料的销售；室内外装潢工程的施工及设计。货物及技术进出口。，许可经营项目是：无
